datetime,open,high,low,close,change
2023-11-01 00:00:00,533.0,533.0,527.0,528.0,-1.0
2023-11-02 00:00:00,536.0,547.0,535.0,547.0,19.0
2023-11-03 00:00:00,547.0,549.0,545.0,549.0,2.0
2023-11-06 00:00:00,553.0,556.0,550.0,550.0,1.0
2023-11-07 00:00:00,552.0,555.0,550.0,555.0,5.0
2023-11-08 00:00:00,550.0,557.0,550.0,556.0,1.0
2023-11-09 00:00:00,551.0,557.0,551.0,557.0,1.0
2023-11-10 00:00:00,555.0,557.0,554.0,557.0,0.0
2023-11-13 00:00:00,579.0,580.0,571.0,571.0,14.0
2023-11-14 00:00:00,576.0,576.0,571.0,572.0,1.0
2023-11-15 00:00:00,583.0,583.0,575.0,581.0,9.0
2023-11-16 00:00:00,581.0,583.0,578.0,583.0,2.0
2023-11-17 00:00:00,579.0,583.0,579.0,580.0,-3.0
2023-11-20 00:00:00,576.0,579.0,575.0,577.0,-3.0
2023-11-21 00:00:00,582.0,585.0,581.0,585.0,8.0
2023-11-22 00:00:00,576.0,579.0,574.0,577.0,-8.0
2023-11-23 00:00:00,574.0,578.0,574.0,578.0,1.0
2023-11-24 00:00:00,577.0,578.0,574.0,575.0,-3.0
2023-11-27 00:00:00,573.0,577.0,568.0,568.0,-7.0
2023-11-28 00:00:00,565.0,576.0,565.0,575.0,7.0
2023-11-29 00:00:00,578.0,579.0,570.0,574.0,-1.0
2023-11-30 00:00:00,576.0,577.0,570.0,577.0,3.0
